PID,BIAS,RELATEDNESS,REPS,MS
7,subordinate,unrelated,short,
7,subordinate,unrelated,short,1699
7,subordinate,unrelated,short,1729
8,dominant,related,long,1192
8,dominant,related,long,1219
8,dominant,related,long,1347
8,dominant,related,long,1513
8,dominant,related,long,1907
8,dominant,related,long,2122
8,dominant,related,long,
8,dominant,related,long,2450
8,dominant,related,long,2515
8,dominant,related,short,805
8,dominant,related,short,1150
8,dominant,related,short,1214
8,dominant,related,short,1429
8,dominant,related,short,
8,dominant,related,short,1462
8,dominant,related,short,1830
8,dominant,related,short,1838
8,dominant,related,short,2765
8,dominant,unrelated,long,963
8,dominant,unrelated,long,1258
8,dominant,unrelated,long,1409
8,dominant,unrelated,long,1481
8,dominant,unrelated,long,1841
8,dominant,unrelated,long,1969
8,dominant,unrelated,long,2074
8,dominant,unrelated,long,2427
8,dominant,unrelated,long,2705
8,dominant,unrelated,short,758
8,dominant,unrelated,short,839
8,dominant,unrelated,short,974
8,dominant,unrelated,short,1038
8,dominant,unrelated,short,1046
8,dominant,unrelated,short,1191
8,dominant,unrelated,short,1222
8,dominant,unrelated,short,1255
8,dominant,unrelated,short,1486
8,filler,related,long,0
8,filler,related,long,747
8,filler,related,long,843
8,filler,related,long,906
8,filler,related,long,1298
8,filler,related,long,1404
8,filler,related,long,1475
8,filler,related,long,1499
8,filler,related,long,
8,filler,related,long,1690
8,filler,related,long,1825
8,filler,related,long,2042
8,filler,related,long,2074
8,filler,related,long,2498
8,filler,related,long,2585
8,filler,related,short,735
8,filler,related,short,883
8,filler,related,short,886
8,filler,related,short,950
8,filler,related,short,1030
8,filler,related,short,1046
8,filler,related,short,
8,filler,related,short,1414
8,filler,related,short,1478
8,filler,related,short,1486
8,filler,related,short,1989
8,filler,related,short,2038
8,filler,related,short,2151
8,filler,related,short,2206
8,filler,related,short,2743
8,filler,unrelated,long,1186
8,filler,unrelated,long,1187
8,filler,unrelated,long,1338
8,filler,unrelated,long,1355
8,filler,unrelated,long,1578
8,filler,unrelated,long,1649
8,filler,unrelated,long,1713
8,filler,unrelated,long,1715
8,filler,unrelated,long,1729
8,filler,unrelated,long,1795
8,filler,unrelated,long,1833
